latitude,longitude
-23.5808002,-46.6769165
-23.583723,-46.6800915
-23.548385,-46.6565268
-23.5558088,-46.6483557
-23.5737131,-46.6595518
-23.5418611,-46.7270288
-23.6083869,-46.6298825
-23.5611669,-46.578667
-23.594879,-46.626999
-23.6288653,-46.6431841
-23.55078,-46.643969
-23.562834,-46.6801153
-23.5380023,-46.6614989
-23.5679414,-46.6545237
-23.534507,-46.6856719
-23.6111567,-46.7242833
-23.5627788,-46.5999756
-23.5578723,-46.6615168
-23.6231593,-46.6250221
-23.5364668,-46.6795653
-23.578361,-46.6698801
-23.560198,-46.6218485
-23.6194404,-46.6735745
-23.6186442,-46.6335015
-23.6124872,-46.7361891
-23.56221,-46.630224
-23.5518801,-46.6547981
-23.5380398,-46.6604947
-23.5668589,-46.6609185
-23.6054529,-46.7045123
-23.564859,-46.6484828
-23.603322,-46.6654705
-23.5882965,-46.6366419
-23.5643118,-46.6503507
-23.6149954,-46.5969541
-23.5942828,-46.6458573
-23.5925334,-46.671478
-23.532292,-46.705484
-23.6260487,-46.7330375
-23.5514584,-46.6539606
-23.5708089,-46.6576442
-23.6151197,-46.6856933
-23.5391853,-46.6692787
-23.5884312,-46.673461
-23.6211923,-46.7376911
-23.5333734,-46.668047
-23.5449849,-46.6582829
-23.5865331,-46.6423076
-23.5834404,-46.6265534
-23.5464366,-46.6942966
-23.5354632,-46.6949941
-23.6222179,-46.7390657
-23.6289504,-46.6360883
-23.5367197,-46.6601372
-23.623664,-46.7356817
-23.5341635,-46.6775915
-23.5707442,-46.6586196
-23.5767906,-46.590736
-23.5468766,-46.6944203
-23.627852,-46.7195047
-23.5721857,-46.6475331
-23.5819103,-46.6343983
-23.6126108,-46.6878865
-23.569292,-46.7272865
-23.5953398,-46.6766738
-23.6107824,-46.6950502
-23.5337833,-46.6641904
-23.5650924,-46.6435065
-23.5663786,-46.6636685
-23.5469253,-46.6546653
-23.594104,-46.648007
-23.5760894,-46.6189917
-23.6193033,-46.7379953
-23.5364538,-46.6775222
-23.6248211,-46.672768
-23.546892,-46.6583824
-23.557881,-46.65529
-23.5465691,-46.6546898
-23.5998751,-46.6476606
-23.5626692,-46.6936145
-23.598008,-46.6809931
-23.5955223,-46.6692071
-23.5674438,-46.6461774
-23.5709013,-46.628136
-23.627521,-46.7317909
-23.539838,-46.704217
-23.5249979,-46.7309089
-23.6120872,-46.6661385
-23.5022153,-46.6302214
-23.5703252,-46.6244662
-23.5569212,-46.6766084
-23.6266386,-46.6663345
-23.6124391,-46.6794743
-23.6028068,-46.6344326
-23.5258915,-46.7322336
-23.6232341,-46.7195204
-23.5474982,-46.655254
-23.5732221,-46.6498136
-23.6364268,-46.6380656
-23.5761789,-46.6479898
-23.5909115,-46.6260305
-23.6061841,-46.7056833
-23.6366667,-46.73
-23.5991215,-46.7307264
-23.5925198,-46.6253135
-23.5574871,-46.6798912
-23.6122271,-46.7369853
-23.5349076,-46.6868006
-23.6261676,-46.7224136
-23.5634197,-46.6601755
-23.55736,-46.6046844
-23.5045065,-46.6400248
-23.6228566,-46.7262469
-23.6242426,-46.7380337
-23.5425344,-46.6589149
-23.6010016,-46.6110058
-23.541714,-46.6614127
-23.6011079,-46.7161175
-23.6436237,-46.6427401
-23.6246285,-46.6673149
-23.5922364,-46.6472276
-23.613294,-46.7391951
-23.6124041,-46.6441521
-23.5674545,-46.6215974
-23.606544,-46.620249
-23.561991,-46.5871744
-23.5787342,-46.6509001
-23.5513556,-46.7185483
-23.4920977,-46.6394991
-23.5048134,-46.6770845
-23.6071586,-46.7027485
-23.6074496,-46.6343411
-23.6216167,-46.6709273
-23.6096204,-46.6248447
