,endereço,bairro,point_location,latitude,longitude
65,"Alameda dos Anapurus, 746 - Indianópolis, São Paulo - SP, 04087-002, Brazil",Indianópolis,"23 36m 22.5209s S, 46 39m 27.1804s W",-23.6062558,-46.6575501
66,"Condomínio Edifício Cancum - R. Dr. Virgílio de Carvalho Pinto, 160 - Pinheiros, São Paulo - SP, 05415-020, Brazil",Pinheiros,"23 33m 50.6581s S, 46 40m 58.5768s W",-23.5640714,-46.6829393
67,"R. Paulo Orozimbo, 530 - Cambuci, São Paulo - SP, 01535-000, Brazil",Cambuci,"23 34m 19.0484s S, 46 37m 31.9174s W",-23.5721126,-46.6254552
68,"R. Cristiano Viana, 270 - Pinheiros, São Paulo - SP, 05411-000, Brazil",Pinheiros,"23 33m 37.2456s S, 46 40m 35.6045s W",-23.5603598,-46.6765225
69,"Av. Giovanni Gronchi, 6582 - Vila Andrade, São Paulo - SP, 05724-002, Brazil",Vila Andrade,"23 38m 15.6595s S, 46 44m 13.2058s W",-23.6376832,-46.7370016
70,"Av. Angélica, 842 - Santa Cecilia, São Paulo - SP, 01228-000, Brazil",Santa Cecilia,"23 32m 24.6563s S, 46 39m 19.8313s W",-23.5401935,-46.6555082
71,"R. Itacema, 147 - Itaim Bibi, São Paulo - SP, 04530-050, Brazil",Itaim Bibi,"23 34m 45.9811s S, 46 40m 20.28s W",-23.579425,-46.6723432
72,"Av. Jurucê, 766 - Indianópolis, São Paulo - SP, 04080-013, Brazil",Indianópolis,"23 36m 40.0057s S, 46 39m 34.0693s W",-23.6109976,-46.6593853
73,"Rua Dr. James Ferraz Alvim, 145 - Vila Suzana, São Paulo - SP, 05641-020, Brazil",Vila Suzana,"23 37m 0.82308s S, 46 43m 58.9505s W",-23.616918,-46.733036
74,"Condomínio Edifício Lizabeth - R. Artur de Azevedo, 1445 - Pinheiros, São Paulo - SP, 05404-013, Brazil",Pinheiros,"23 33m 52.7684s S, 46 41m 5.64036s W",-23.5646558,-46.6848983
75,"Rua Constantino de Sousa, 671 - Campo Belo, São Paulo - SP, 04605-001, Brazil",Campo Belo,"23 37m 5.502s S, 46 40m 26.3831s W",-23.618189,-46.6740037
76,"Rua Ambrizette, 79 - Jardim Fonte do Morumbi, São Paulo - SP, 05704-020, Brazil",Jardim Fonte do Morumbi,"23 37m 37.9859s S, 46 43m 11.7721s W",-23.6272122,-46.7198961
77,"R. Guarará, 289 - Jardim Paulista, São Paulo - SP, 01425-001, Brazil",Jardim Paulista,"23 34m 22.2445s S, 46 39m 30.3419s W",-23.5728344,-46.658414
78,"R. Antônio de Macedo Soares, 1102 - Campo Belo, São Paulo - SP, 04607-001, Brazil",Campo Belo,"23 37m 19.1222s S, 46 40m 29.051s W",-23.6218283,-46.6747552
79,"Rua João Avelino Pinho Mellão, 12 - Morumbi, São Paulo - SP, 05659-010, Brazil",12,"23 36m 28.7496s S, 46 43m 21.9803s W",-23.6079969,-46.7227703
80,"R. Dona Antônia de Queirós, 469 - Higienópolis, São Paulo - SP, 01307-014, Brazil",Higienópolis,"23 32m 57.939s S, 46 39m 15.2482s W",-23.549452,-46.6542286
81,"Rua Harmonia, 731 - Sumarezinho, São Paulo - SP, 05435-000, Brazil",Sumarezinho,"23 33m 8.0658s S, 46 41m 25.6092s W",-23.5521276,-46.6903137
82,"R. Dr. Fausto Ferraz, 64 - Bela Vista, São Paulo - SP, 01333-030, Brazil",Bela Vista,"23 33m 58.0172s S, 46 38m 44.3573s W",-23.5663315,-46.6457937
